scorer,,,,,,,,,,,,,,,,,,,,,,,,,,
bodyparts,chin,chin,mouth,mouth,LED,LED,LPecBase,LPecBase,LPecTip,LPecTip,RPecBase,RPecBase,RPecTip,RPecTip,Trunk1,Trunk1,Trunk2,Trunk2,Tail1,Tail1,Tail2,Tail2,CaudalFork,CaudalFork,SideView,SideView
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
IntialRun/img1.png,661.957025920873,1002.2621145374401,696.008867667121,974.068281938326,731.763301500682,945.874449339207,781.138472032742,931.7775330396471,799.866984993179,949.3986784140969,741.978854024557,896.535242290749,724.952933151432,861.29295154185,787.948840381992,893.0110132158591,828.8110504774901,856.0066079295151,866.2680763983631,804.905286343612,913.9406548431099,760.852422907489,968.423601637108,727.372246696035,1142.08799454297,901.8215859030839
IntialRun/img2.png,963.315825375171,653.363436123348,941.1821282401089,685.081497797357,896.914733969986,753.8039647577091,859.457708049113,739.70704845815,822.0006821282401,741.469162995595,890.104365620737,780.235682819383,893.509549795362,806.667400881057,849.2421555252389,799.618942731277,811.785129604366,834.8612334801759,770.922919508868,856.0066079295151,728.358117326057,880.676211453744,687.4959072305589,919.442731277533,1217.00204638472,720.323788546256
IntialRun/img3.png,997.3676671214191,535.3017621145369,976.9365620736698,549.3986784140969,949.6950886766709,577.592511013216,903.725102319236,602.262114537445,859.457708049113,609.3105726872251,934.371759890859,628.693832599119,947.992496589359,663.936123348018,907.1302864938609,625.1696035242289,881.591405184175,683.319383259912,849.2421555252389,729.1343612334799,827.108458390177,794.332599118943,825.405866302865,889.4867841409689,1111.44133697135,582.878854625551
IntialRun/img4.png,764.1125511596181,1000.5,731.763301500682,1004.02422907489,673.8751705320599,1011.07268722467,631.31036834925,974.068281938326,610.879263301501,952.922907488987,627.905184174625,1021.64537444934,609.176671214188,1041.02863436123,626.202592087312,996.97577092511,556.396316507503,1004.02422907489,496.805593451569,1000.5,445.727830832196,1000.5,333.356753069577,1007.5484581497801,1184.65279672578,938.825991189427
IntialRun/img5.png,733.465893587995,819.002202643172,769.220327421555,785.522026431718,804.9747612551159,752.041850220264,839.026603001364,729.1343612334799,859.457708049113,743.23127753304,799.866984993179,693.8920704845821,794.7592087312421,663.936123348018,839.026603001364,688.605726872247,864.56548431105,639.266519823788,883.293997271487,602.262114537445,891.806957708049,547.636563876652,888.401773533424,445.43392070484595,1152.30354706685,736.1828193832599
IntialRun/img6.png,992.259890859482,1127.37224669604,966.7210095497951,1099.1784140969198,920.75102319236,1044.55286343612,939.479536152797,1016.359030837,978.639154160982,1000.5,,,878.18622100955,1063.93612334802,925.858799454297,1019.8832599118901,893.509549795362,967.019823788546,871.3758526603,914.156387665198,850.9447476125509,836.623348017621,828.8110504774901,757.328193832599,1162.5190995907199,1011.07268722467
IntialRun/img7.png,936.074351978172,568.781938325991,925.858799454297,595.213656387665,915.643246930423,648.077092511013,866.2680763983631,670.984581497797,839.026603001364,658.649779735683,913.9406548431099,688.605726872247,946.289904502046,699.1784140969161,893.509549795362,686.8436123348021,876.4836289222369,727.372246696035,859.457708049113,774.9493392070481,837.324010914052,857.76872246696,840.7291950886771,958.209251101322,1109.73874488404,637.504405286344
IntialRun/img8.png,827.108458390177,184.640969162996,842.431787175989,207.54845814978,884.9965893588001,253.363436123348,866.2680763983631,313.27533039647597,859.457708049113,339.70704845815,908.832878581173,295.654185022026,941.1821282401089,315.037444933921,895.2121418826739,306.226872246696,913.9406548431099,364.376651982379,920.75102319236,419.002202643172,913.9406548431099,485.962555066079,890.104365620737,575.8303964757711,1125.06207366985,285.081497797357
IntialRun/img9.png,321.43860845839,433.099118942731,335.059345156889,403.143171806167,348.680081855389,337.944933920705,396.35266030013605,327.372246696035,428.70190995907205,359.090308370044,358.895634379263,302.702643171806,335.059345156889,288.60572687224703,384.434515688949,295.654185022026,423.594133697135,244.552863436123,467.861527967258,195.213656387665,518.9392905866299,144.11233480176202,558.098908594816,105.345814977974,1157.4113233287899,408.429515418502
IntialRun/img10.png,549.585948158254,993.4515418502199,581.93519781719,979.354625550661,643.228512960437,970.5440528634359,677.280354706685,965.2577092511011,704.521828103683,989.92731277533,653.444065484311,919.442731277533,641.525920873124,880.676211453744,673.8751705320599,938.825991189427,719.8451568894949,915.918502202643,777.733287858117,893.0110132158591,839.026603001364,863.055066079295,929.263983628922,834.8612334801759,1148.89836289222,908.870044052863
IntialRun/img11.png,842.431787175989,531.777533039648,844.134379263302,565.257709251101,861.1603001364259,632.218061674009,825.405866302865,667.460352422907,793.056616643929,692.129955947137,869.6732605729879,658.649779735683,907.1302864938609,669.222466960352,852.647339699864,688.605726872247,854.349931787176,746.75550660793,849.2421555252389,801.381057268722,845.836971350614,868.3414096916299,833.918826739427,944.1123348017619,1143.7905866302901,621.645374449339
IntialRun/img12.png,282.278990450205,390.80837004405294,311.22305593451597,387.284140969163,355.49045020463797,373.187224669603,406.568212824011,408.429515418502,421.891541609823,448.958149779736,408.270804911323,366.138766519824,437.214870395634,344.993392070485,409.973396998636,383.759911894273,459.348567530696,392.570484581498,518.9392905866299,397.856828193833,593.853342428377,406.66740088105695,696.008867667121,397.856828193833,1167.6268758526599,440.14757709251097
IntialRun/img13.png,908.832878581173,174.068281938326,891.806957708049,204.02422907488997,869.6732605729879,246.314977973568,827.108458390177,272.746696035242,786.2462482946801,274.50881057268697,861.1603001364259,290.367841409692,884.9965893588001,322.0859030837,840.7291950886771,286.843612334802,818.595497953615,332.65859030837004,798.164392905866,376.71145374449304,770.922919508868,438.385462555066,757.3021828103681,542.350220264317,1162.5190995907199,285.081497797357
IntialRun/img14.png,631.31036834925,191.689427312775,670.469986357435,212.83480176211398,728.358117326057,230.455947136564,733.465893587995,283.319383259912,740.2762619372439,323.848017621145,755.599590723056,251.601321585903,793.056616643929,260.41189427312804,757.3021828103681,270.984581497797,794.7592087312421,304.464757709251,827.108458390177,346.755506607929,861.1603001364259,403.143171806167,895.2121418826739,503.583700440529,1147.19577080491,292.129955947137
IntialRun/img15.png,627.905184174625,196.97577092511003,583.637789904502,188.16519823788502,505.318553888131,177.592511013216,471.26671214188303,168.781938325991,444.025238744884,158.209251101322,479.779672578445,212.83480176211398,450.835607094134,228.693832599119,466.158935879945,188.16519823788502,409.973396998636,196.97577092511003,353.787858117326,216.359030837004,289.089358799454,255.125550660793,246.524556616644,313.27533039647597,1164.22169167804,269.222466960352
IntialRun/img16.png,244.821964529332,787.2841409691631,238.01159618008202,755.5660792951539,214.17530695770802,693.8920704845821,248.227148703956,653.363436123348,283.981582537517,633.980176211454,207.36493860845798,653.363436123348,190.339017735334,630.4559471365641,226.093451568895,633.980176211454,219.283083219645,579.354625550661,217.58049113233298,528.253303964758,212.472714870396,463.055066079295,231.20122783083198,381.997797356828,1155.7087312414699,693.8920704845821
IntialRun/img17.png,723.25034106412,600.5,757.3021828103681,609.3105726872251,822.0006821282401,626.931718061674,849.2421555252389,663.936123348018,867.9706684856751,692.129955947137,854.349931787176,616.359030837004,896.914733969986,609.3105726872251,869.6732605729879,642.790748898678,922.453615279673,674.508810572687,959.9106412005459,730.896475770925,968.423601637108,799.618942731277,947.992496589359,857.76872246696,1136.9802182810402,630.4559471365641
IntialRun/img18.png,912.2380627557981,942.350220264317,905.427694406548,915.918502202643,902.022510231924,859.530837004405,898.617326057299,811.953744493392,920.75102319236,778.473568281938,861.1603001364259,824.2885462555071,828.8110504774901,815.477973568282,876.4836289222369,801.381057268722,879.888813096862,753.8039647577091,874.781036834925,697.416299559471,893.509549795362,618.121145374449,934.371759890859,556.447136563877,1130.16984993179,850.720264317181
IntialRun/img19.png,1016.0961800818599,968.7819383259911,975.233969986357,947.6365638766521,895.2121418826739,938.825991189427,925.858799454297,905.345814977974,959.9106412005459,875.3898678414099,919.048431105048,958.209251101322,920.75102319236,982.878854625551,874.781036834925,903.583700440529,839.026603001364,866.579295154185,799.866984993179,824.2885462555071,777.733287858117,764.376651982379,767.517735334243,704.464757709251,,
IntialRun/img20.png,564.909276944065,857.76872246696,592.1507503410639,864.8171806167401,658.551841746248,889.4867841409689,689.198499317872,912.394273127753,716.43997271487,937.063876651982,697.711459754434,868.3414096916299,731.763301500682,845.4339207048461,714.737380627558,894.773127753304,759.0047748976809,900.0594713656391,835.621418826739,898.297356828194,903.725102319236,871.8656387665201,951.3976807639841,811.953744493392,1147.19577080491,859.530837004405
IntialRun/img21.png,747.086630286494,894.773127753304,709.629604365621,915.918502202643,663.659618008186,959.971365638766,622.797407912688,961.733480176212,587.042974079127,949.3986784140969,650.038881309686,998.7378854625549,641.525920873124,1032.21806167401,626.202592087312,991.6894273127749,580.232605729877,1023.4074889867801,529.154843110505,1051.6013215859,447.430422919509,1076.27092511013,396.35266030013605,1069.22246696035,1152.30354706685,903.583700440529
IntialRun/img22.png,592.1507503410639,700.9405286343609,624.5,722.0859030836999,680.68553888131,764.376651982379,692.6036834924961,796.094713656388,685.793315143247,829.5748898678411,719.8451568894949,759.090308370044,757.3021828103681,750.279735682819,724.952933151432,790.808370044053,759.0047748976809,819.002202643172,801.5695770804911,857.76872246696,859.457708049113,901.8215859030839,947.992496589359,917.680616740088,1167.6268758526599,739.70704845815
IntialRun/img23.png,539.370395634379,147.636563876652,510.426330150068,161.733480176212,449.133015006821,191.689427312775,413.378581173261,188.16519823788502,384.434515688949,168.781938325991,438.91746248294703,226.931718061674,435.512278308322,262.174008810573,404.865620736698,221.645374449339,358.895634379263,251.601321585903,318.033424283765,267.46035242290696,255.037517053206,299.178414096916,198.851978171896,359.090308370044,1159.1139154161,279.795154185022
IntialRun/img24.png,604.068894952251,353.80396475770897,627.905184174625,334.420704845815,673.8751705320599,293.892070484582,684.090723055934,256.887665198238,651.741473396999,235.742290748899,709.629604365621,293.892070484582,702.819236016371,332.65859030837004,713.0347885402459,258.64977973568296,757.3021828103681,221.645374449339,815.19031377899,186.40308370044102,886.6991814461121,159.971365638766,942.884720327422,179.354625550661,1148.89836289222,346.755506607929
IntialRun/img25.png,869.6732605729879,767.900881057269,845.836971350614,801.381057268722,813.487721691678,852.4823788546249,765.8151432469299,852.4823788546249,726.655525238745,838.385462555066,796.4618008185539,884.2004405286341,803.272169167804,915.918502202643,770.922919508868,889.4867841409689,728.358117326057,930.015418502203,675.577762619372,972.306167400881,626.202592087312,1002.2621145374401,556.396316507503,1055.1255506607902,1169.3294679399698,824.2885462555071
IntialRun/img26.png,709.629604365621,163.495594713656,740.2762619372439,186.40308370044102,803.272169167804,216.359030837004,827.108458390177,232.21806167400902,856.0525238744881,228.693832599119,798.164392905866,262.174008810573,782.841064120055,297.41629955947104,837.324010914052,262.174008810573,864.56548431105,304.464757709251,896.914733969986,352.041850220264,920.75102319236,419.002202643172,958.2080491132331,498.297356828194,1143.7905866302901,269.222466960352
IntialRun/img27.png,774.3281036834919,845.4339207048461,794.7592087312421,811.953744493392,830.5136425648019,755.5660792951539,861.1603001364259,743.23127753304,895.2121418826739,760.852422907489,820.2980900409281,722.0859030836999,789.651432469304,693.8920704845821,850.9447476125509,716.7995594713659,874.781036834925,663.936123348018,890.104365620737,612.834801762114,920.75102319236,545.874449339207,965.0184174624831,463.055066079295,1148.89836289222,750.279735682819
IntialRun/img28.png,925.858799454297,591.6894273127749,912.2380627557981,621.645374449339,893.509549795362,706.226872246696,862.862892223738,700.9405286343609,840.7291950886771,669.222466960352,922.453615279673,715.037444933921,956.505457025921,695.654185022026,881.591405184175,734.420704845815,866.2680763983631,774.9493392070481,840.7291950886771,824.2885462555071,801.5695770804911,880.676211453744,735.168485675307,949.3986784140969,1157.4113233287899,683.319383259912
IntialRun/img29.png,403.163028649386,928.253303964758,437.214870395634,951.160792951542,489.995225102319,1011.07268722467,513.831514324693,1018.1211453744501,517.236698499318,1042.79074889868,537.667803547067,977.5925110132159,571.719645293315,972.306167400881,573.422237380628,1032.21806167401,627.905184174625,1037.50440528634,675.577762619372,1032.21806167401,736.871077762619,1012.83480176211,793.056616643929,1000.5,1154.00613915416,921.2048458149781
IntialRun/img30.png,564.909276944065,1004.02422907489,593.853342428377,995.213656387665,656.8492496589361,982.878854625551,709.629604365621,977.5925110132159,736.871077762619,988.165198237885,677.280354706685,930.015418502203,690.901091405184,898.297356828194,706.2244201909959,952.922907488987,750.4918144611189,924.729074889868,798.164392905866,898.297356828194,844.134379263302,856.0066079295151,903.725102319236,776.7114537444929,1135.27762619372,928.253303964758
